CustomerID,Segment,churn_prediction,marketing_action
468,Recent Low-Spenders,0,Upsell: Bundle Offer
469,At-Risk,1,Reactivation Email + Big Discount
470,Recent Low-Spenders,0,Upsell: Bundle Offer
471,Recent Low-Spenders,0,Upsell: Bundle Offer
472,Recent Low-Spenders,0,Upsell: Bundle Offer
473,Recent Low-Spenders,0,Upsell: Bundle Offer
474,Recent Low-Spenders,0,Upsell: Bundle Offer
475,Recent Low-Spenders,0,Upsell: Bundle Offer
476,Recent Low-Spenders,0,Upsell: Bundle Offer
477,Recent Low-Spenders,0,Upsell: Bundle Offer
478,At-Risk,1,Reactivation Email + Big Discount
479,Recent Low-Spenders,0,Upsell: Bundle Offer
480,Recent Low-Spenders,0,Upsell: Bundle Offer
481,At-Risk,1,Reactivation Email + Big Discount
482,At-Risk,1,Reactivation Email + Big Discount
483,Recent Low-Spenders,0,Upsell: Bundle Offer
484,Recent Low-Spenders,0,Upsell: Bundle Offer
485,Recent Low-Spenders,0,Upsell: Bundle Offer
486,Recent Low-Spenders,0,Upsell: Bundle Offer
487,At-Risk,1,Reactivation Email + Big Discount
488,Recent Low-Spenders,0,Upsell: Bundle Offer
489,Recent Low-Spenders,0,Upsell: Bundle Offer
490,Recent Low-Spenders,0,Upsell: Bundle Offer
491,Recent Low-Spenders,0,Upsell: Bundle Offer
492,Recent Low-Spenders,0,Upsell: Bundle Offer
493,At-Risk,1,Reactivation Email + Big Discount
494,Recent Low-Spenders,0,Upsell: Bundle Offer
495,Recent Low-Spenders,0,Upsell: Bundle Offer
496,Recent Low-Spenders,0,Upsell: Bundle Offer
497,Recent Low-Spenders,0,Upsell: Bundle Offer
498,Recent Low-Spenders,0,Upsell: Bundle Offer
499,Recent Low-Spenders,0,Upsell: Bundle Offer
500,Recent Low-Spenders,0,Upsell: Bundle Offer
501,Loyal Customers,0,Loyalty Bonus + Referral Code
502,Recent Low-Spenders,0,Upsell: Bundle Offer
503,Recent Low-Spenders,0,Upsell: Bundle Offer
504,Recent Low-Spenders,0,Upsell: Bundle Offer
505,Recent Low-Spenders,0,Upsell: Bundle Offer
506,At-Risk,1,Reactivation Email + Big Discount
507,At-Risk,1,Reactivation Email + Big Discount
508,Recent Low-Spenders,0,Upsell: Bundle Offer
509,Recent Low-Spenders,0,Upsell: Bundle Offer
510,At-Risk,1,Reactivation Email + Big Discount
511,At-Risk,1,Reactivation Email + Big Discount
512,At-Risk,1,Reactivation Email + Big Discount
513,At-Risk,1,Reactivation Email + Big Discount
514,Recent Low-Spenders,0,Upsell: Bundle Offer
515,At-Risk,1,Reactivation Email + Big Discount
516,At-Risk,1,Reactivation Email + Big Discount
517,At-Risk,1,Reactivation Email + Big Discount
518,At-Risk,1,Reactivation Email + Big Discount
519,Recent Low-Spenders,0,Upsell: Bundle Offer
520,At-Risk,1,Reactivation Email + Big Discount
521,At-Risk,1,Reactivation Email + Big Discount
522,Recent Low-Spenders,0,Upsell: Bundle Offer
